_id,level,max_velocity,name,type
330374295,1,-1.0,Trần Phú,primary
330374298,0,60.0,Quốc lộ 1,trunk
330374300,0,60.0,Quốc lộ 1,trunk
330374319,1,-1.0,Đinh Bộ Lĩnh,primary
330378022,3,-1.0,Bà Huyện Thanh Quan,tertiary
330378025,1,-1.0,Hùng Vương,primary
330378031,3,-1.0,Trang Tử,tertiary
330378032,3,-1.0,Võ Văn Tần,tertiary
330378033,0,60.0,Quốc lộ 1,trunk
330532278,2,-1.0,An Dương Vương,secondary
330532280,0,50.0,Điện Biên Phủ,trunk
330532283,1,50.0,Điện Biên Phủ,primary
330532285,0,50.0,Điện Biên Phủ,trunk
330532288,2,50.0,Điện Biên Phủ,trunk_link
330532290,0,60.0,Điện Biên Phủ,trunk
330532292,2,-1.0,Đỗ Xuân Hợp,secondary
330532295,2,-1.0,Đỗ Xuân Hợp,secondary
330532300,0,80.0,Xa lộ Hà Nội,trunk
330532302,0,80.0,Xa lộ Hà Nội,trunk
330532303,2,50.0,(không tên),trunk_link
330532304,0,80.0,Xa Lộ Hà Nội,trunk
330532305,0,80.0,Xa Lộ Hà Nội,trunk
330532306,0,60.0,Xa Lộ Hà Nội,trunk
330532309,0,60.0,Xa Lộ Hà Nội,trunk
330532312,1,-1.0,Hồng Bàng,primary
330532314,1,-1.0,Hùng Vương,primary
330532317,3,-1.0,Lê Văn Chí,tertiary
330532319,0,60.0,Quốc lộ 1,trunk
330532321,0,60.0,Quốc lộ 1,trunk
330532328,1,-1.0,Nguyễn Tri Phương,primary
330532332,1,-1.0,Nguyễn Văn Cừ,primary
330532335,1,-1.0,Nguyễn Văn Cừ,primary
330532340,3,-1.0,Võ Văn Ngân,tertiary
330532343,3,-1.0,Võ Văn Ngân,tertiary
330532348,1,50.0,Xa lộ Hà Nội,primary
330532351,0,50.0,Xa Lộ Hà Nội,trunk
330532355,0,60.0,Xa lộ Hà Nội,trunk
330532357,1,-1.0,Xô Viết Nghệ Tĩnh,primary
330532361,1,40.0,Xa Lộ Hà Nội,primary
330532363,3,-1.0,(không tên),tertiary
330532364,1,50.0,Điện Biên Phủ,primary
330539272,1,-1.0,Nguyễn Thị Minh Khai,primary
330618199,3,-1.0,(không tên),unclassified
330618200,3,-1.0,(không tên),unclassified
330618204,3,-1.0,(không tên),unclassified
330618206,2,-1.0,Nguyễn Ảnh Thủ,secondary
330618207,3,-1.0,(không tên),unclassified
330618208,3,-1.0,(không tên),unclassified
330618209,3,-1.0,(không tên),unclassified
330618210,3,-1.0,(không tên),unclassified
330618652,3,-1.0,(không tên),unclassified
330654853,1,-1.0,Hoàng Diệu,primary
330654855,1,-1.0,Hoàng Diệu,primary
330654857,1,-1.0,Hoàng Diệu,primary
330654860,1,-1.0,Khánh Hội,primary
330654862,3,-1.0,Tôn Thất Thuyết,tertiary
330800286,3,-1.0,(không tên),unclassified
330800305,3,-1.0,Đường số 3,tertiary
330800309,3,-1.0,Đường Liên Ấp 5-6,unclassified
330800331,3,-1.0,(không tên),unclassified
330800332,3,-1.0,(không tên),unclassified
330800334,3,-1.0,Đường số 6,unclassified
330805082,2,-1.0,Vĩnh Lộc,secondary
330805084,3,-1.0,(không tên),unclassified
330805087,3,-1.0,Đường số 2A,unclassified
330805100,3,-1.0,Đường số 2,tertiary
330805102,3,-1.0,Đường số 2,tertiary
330805103,3,-1.0,Đường số 2,tertiary
330809451,3,-1.0,(không tên),unclassified
